epoch,lr-SGD,lr-SGD-1,lr-SGD-1-momentum,lr-SGD-momentum,step,train/data_time,train/iter_time,train/loss,train/total_loss,val/accuracy,validation/data_time,validation/iter_time
,0.00058,0.00058,0.9,0.9,0,,,,,,,
0,,,,,49,,,0.9952710866928101,0.9952710866928101,,,
0,,,,,57,,,,,0.2179836481809616,0.01980890892446041,1.7989592552185059
0,,,,,57,0.018824154511094093,11.32127857208252,,,,,
,0.0058,0.0058,0.9,0.9,58,,,,,,,
1,,,,,99,,,0.6004559993743896,0.6004559993743896,,,
1,,,,,115,,,,,0.21416893601417542,0.01933126710355282,1.7966886758804321
1,,,,,115,0.019813572987914085,11.241782188415527,,,,,
,0.0058,0.0058,0.9,0.9,116,,,,,,,
2,,,,,149,,,0.44037097692489624,0.44037097692489624,,,
2,,,,,173,,,,,0.2177111655473709,0.020096447318792343,1.7655150890350342
2,,,,,173,0.02078336291015148,11.218643188476562,,,,,
,0.0058,0.0058,0.9,0.9,174,,,,,,,
3,,,,,199,,,0.5502546429634094,0.5502546429634094,,,
3,,,,,231,,,,,0.24959127604961395,0.01922871544957161,1.783415675163269
3,,,,,231,0.020436428487300873,11.267110824584961,,,,,
,0.0058,0.0058,0.9,0.9,232,,,,,,,
4,,,,,249,,,0.2803669571876526,0.2803669571876526,,,
4,,,,,289,,,,,0.25395095348358154,0.01957003027200699,1.8130649328231812
4,,,,,289,0.02030543051660061,11.281877517700195,,,,,
,0.0058,0.0058,0.9,0.9,290,,,,,,,
5,,,,,299,,,0.5083581805229187,0.5083581805229187,,,
5,,,,,347,,,,,0.24822887778282166,0.022782539948821068,1.788989543914795
5,,,,,347,0.019633417949080467,11.35297679901123,,,,,
,0.0058,0.0058,0.9,0.9,348,,,,,,,
6,,,,,349,,,0.32057076692581177,0.32057076692581177,,,
6,,,,,399,,,0.28361037373542786,0.28361037373542786,,,
6,,,,,405,,,,,0.286376029253006,0.018545176833868027,1.7977931499481201
6,,,,,405,0.020729834213852882,11.176142692565918,,,,,
,0.0058,0.0058,0.9,0.9,406,,,,,,,
7,,,,,449,,,0.5177567005157471,0.5177567005157471,,,
7,,,,,463,,,,,0.24931880831718445,0.019595716148614883,1.7902088165283203
7,,,,,463,0.0203457772731781,11.146086692810059,,,,,
,0.0058,0.0058,0.9,0.9,464,,,,,,,
8,,,,,499,,,0.282978355884552,0.282978355884552,,,
8,,,,,521,,,,,0.3888283371925354,0.01966746337711811,1.8019623756408691
8,,,,,521,0.02077302150428295,11.234903335571289,,,,,
,0.0058,0.0058,0.9,0.9,522,,,,,,,
9,,,,,549,,,0.4739213287830353,0.4739213287830353,,,
9,,,,,579,,,,,0.24495913088321686,0.01919952593743801,1.7875216007232666
9,,,,,579,0.02008729614317417,11.313521385192871,,,,,
