epoch,lr-SGD,lr-SGD-1,lr-SGD-1-momentum,lr-SGD-momentum,step,train/data_time,train/iter_time,train/loss,train/total_loss,val/accuracy,validation/data_time,validation/iter_time
,0.00058,0.00058,0.9,0.9,0,,,,,,,
0,,,,,4,,,0.6603732705116272,0.6603732705116272,,,
0,,,,,4,0.013352274894714355,11.277998924255371,,,,,
,0.0034799999999999996,0.0034799999999999996,0.9,0.9,5,,,,,,,
1,,,,,9,,,0.34096214175224304,0.34096214175224304,,,
1,,,,,9,0.01333087682723999,11.875245094299316,,,,,
,0.0058,0.0058,0.9,0.9,10,,,,,,,
2,,,,,14,,,0.1557646095752716,0.1557646095752716,,,
2,,,,,14,0.019547700881958008,11.208274841308594,,,,,
,0.0058,0.0058,0.9,0.9,15,,,,,,,
3,,,,,19,,,0.18071773648262024,0.18071773648262024,,,
3,,,,,19,,,,,0.503125011920929,0.016960561275482178,1.8304517269134521
3,,,,,19,0.01923590898513794,11.292400360107422,,,,,
,0.0058,0.0058,0.9,0.9,20,,,,,,,
4,,,,,24,,,0.1264716386795044,0.1264716386795044,,,
4,,,,,24,0.016117990016937256,11.206250190734863,,,,,
,0.0058,0.0058,0.9,0.9,25,,,,,,,
5,,,,,29,,,0.1639995127916336,0.1639995127916336,,,
5,,,,,29,0.015078067779541016,11.4568510055542,,,,,
,0.0058,0.0058,0.9,0.9,30,,,,,,,
6,,,,,34,,,0.051956165581941605,0.051956165581941605,,,
6,,,,,34,0.019317328929901123,11.210152626037598,,,,,
,0.0058,0.0058,0.9,0.9,35,,,,,,,
7,,,,,39,,,0.10279329866170883,0.10279329866170883,,,
7,,,,,39,,,,,0.503125011920929,0.015897929668426514,1.7442508935928345
7,,,,,39,0.012144505977630615,11.180323600769043,,,,,
,0.0058,0.0058,0.9,0.9,40,,,,,,,
8,,,,,44,,,0.027446476742625237,0.027446476742625237,,,
8,,,,,44,0.02056741714477539,11.233491897583008,,,,,
,0.0058,0.0058,0.9,0.9,45,,,,,,,
9,,,,,49,,,0.04849903658032417,0.04849903658032417,,,
9,,,,,49,0.016437768936157227,11.236125946044922,,,,,
,0.0058,0.0058,0.9,0.9,50,,,,,,,
10,,,,,54,,,0.11028224974870682,0.11028224974870682,,,
10,,,,,54,0.016728341579437256,11.16551399230957,,,,,
,0.0058,0.0058,0.9,0.9,55,,,,,,,
11,,,,,59,,,0.07652656733989716,0.07652656733989716,,,
11,,,,,59,,,,,0.503125011920929,0.01845407485961914,1.7352851629257202
11,,,,,59,0.01806586980819702,11.195438385009766,,,,,
,0.0058,0.0058,0.9,0.9,60,,,,,,,
12,,,,,64,,,0.06402309983968735,0.06402309983968735,,,
12,,,,,64,0.018437862396240234,11.262715339660645,,,,,
,0.0058,0.0058,0.9,0.9,65,,,,,,,
13,,,,,69,,,0.051375530660152435,0.051375530660152435,,,
13,,,,,69,0.01929783821105957,11.224939346313477,,,,,
,0.0058,0.0058,0.9,0.9,70,,,,,,,
14,,,,,74,,,0.04619264602661133,0.04619264602661133,,,
14,,,,,74,0.01719081401824951,11.200450897216797,,,,,
,0.0058,0.0058,0.9,0.9,75,,,,,,,
15,,,,,79,,,0.06017610803246498,0.06017610803246498,,,
15,,,,,79,,,,,0.543749988079071,0.016613543033599854,1.7542836666107178
15,,,,,79,0.0161818265914917,11.13577651977539,,,,,
,0.0058,0.0058,0.9,0.9,80,,,,,,,
16,,,,,84,,,0.023103361949324608,0.023103361949324608,,,
16,,,,,84,0.01400071382522583,11.233007431030273,,,,,
,0.0058,0.0058,0.9,0.9,85,,,,,,,
17,,,,,89,,,0.055383361876010895,0.055383361876010895,,,
17,,,,,89,0.021074354648590088,11.158306121826172,,,,,
,0.0058,0.0058,0.9,0.9,90,,,,,,,
18,,,,,94,,,0.029780376702547073,0.029780376702547073,,,
18,,,,,94,0.014984607696533203,11.200922966003418,,,,,
,0.0058,0.0058,0.9,0.9,95,,,,,,,
19,,,,,99,,,0.07226128876209259,0.07226128876209259,,,
19,,,,,99,,,,,0.96875,0.01549619436264038,1.7381365299224854
19,,,,,99,0.01784723997116089,11.902267456054688,,,,,
,0.0058,0.0058,0.9,0.9,100,,,,,,,
20,,,,,104,,,0.11283424496650696,0.11283424496650696,,,
20,,,,,104,0.020380377769470215,11.978434562683105,,,,,
,0.0058,0.0058,0.9,0.9,105,,,,,,,
21,,,,,109,,,0.07980135828256607,0.07980135828256607,,,
21,,,,,109,0.014646053314208984,11.114731788635254,,,,,
,0.0058,0.0058,0.9,0.9,110,,,,,,,
22,,,,,114,,,0.029143191874027252,0.029143191874027252,,,
22,,,,,114,0.02560323476791382,11.138359069824219,,,,,
,0.0058,0.0058,0.9,0.9,115,,,,,,,
23,,,,,119,,,0.030728444457054138,0.030728444457054138,,,
23,,,,,119,,,,,0.984375,0.019663870334625244,1.775991439819336
23,,,,,119,0.019207417964935303,11.069936752319336,,,,,
,0.0058,0.0058,0.9,0.9,120,,,,,,,
24,,,,,124,,,0.07691840082406998,0.07691840082406998,,,
24,,,,,124,0.012738823890686035,11.073427200317383,,,,,
,0.0058,0.0058,0.9,0.9,125,,,,,,,
25,,,,,129,,,0.05851711705327034,0.05851711705327034,,,
25,,,,,129,0.012412428855895996,11.472125053405762,,,,,
,0.0058,0.0058,0.9,0.9,130,,,,,,,
26,,,,,134,,,0.07768254727125168,0.07768254727125168,,,
26,,,,,134,0.01473766565322876,11.166609764099121,,,,,
,0.0058,0.0058,0.9,0.9,135,,,,,,,
27,,,,,139,,,0.06476512551307678,0.06476512551307678,,,
27,,,,,139,,,,,0.503125011920929,0.01822507381439209,1.7266809940338135
27,,,,,139,0.019412755966186523,11.216653823852539,,,,,
,0.0058,0.0058,0.9,0.9,140,,,,,,,
28,,,,,144,,,0.039791837334632874,0.039791837334632874,,,
28,,,,,144,0.020593345165252686,11.278928756713867,,,,,
,0.0058,0.0058,0.9,0.9,145,,,,,,,
29,,,,,149,,,0.053826723247766495,0.053826723247766495,,,
29,,,,,149,0.012678682804107666,11.171040534973145,,,,,
,0.0058,0.0058,0.9,0.9,150,,,,,,,
30,,,,,154,,,0.03461581468582153,0.03461581468582153,,,
30,,,,,154,0.014358997344970703,11.120498657226562,,,,,
,0.0058,0.0058,0.9,0.9,155,,,,,,,
31,,,,,159,,,0.05898067355155945,0.05898067355155945,,,
31,,,,,159,,,,,0.6968749761581421,0.02086937427520752,1.7642521858215332
31,,,,,159,0.012829601764678955,11.179035186767578,,,,,
,0.0058,0.0058,0.9,0.9,160,,,,,,,
32,,,,,164,,,0.04775244742631912,0.04775244742631912,,,
32,,,,,164,0.012777984142303467,11.180066108703613,,,,,
,0.0058,0.0058,0.9,0.9,165,,,,,,,
33,,,,,169,,,0.022588437423110008,0.022588437423110008,,,
33,,,,,169,0.0159914493560791,11.164920806884766,,,,,
,0.0058,0.0058,0.9,0.9,170,,,,,,,
34,,,,,174,,,0.05588893964886665,0.05588893964886665,,,
34,,,,,174,0.016006529331207275,11.455008506774902,,,,,
,0.0058,0.0058,0.9,0.9,175,,,,,,,
35,,,,,179,,,0.04133251681923866,0.04133251681923866,,,
35,,,,,179,,,,,0.503125011920929,0.021121740341186523,1.7498705387115479
35,,,,,179,0.014953076839447021,11.34631061553955,,,,,
,0.0029,0.0029,0.9,0.9,180,,,,,,,
36,,,,,184,,,0.04050198569893837,0.04050198569893837,,,
36,,,,,184,0.01580643653869629,11.36283016204834,,,,,
,0.0029,0.0029,0.9,0.9,185,,,,,,,
37,,,,,189,,,0.0747077614068985,0.0747077614068985,,,
37,,,,,189,0.015264034271240234,11.154447555541992,,,,,
,0.0029,0.0029,0.9,0.9,190,,,,,,,
38,,,,,194,,,0.062954381108284,0.062954381108284,,,
38,,,,,194,0.015308022499084473,11.415654182434082,,,,,
,0.0029,0.0029,0.9,0.9,195,,,,,,,
39,,,,,199,,,0.08078473061323166,0.08078473061323166,,,
39,,,,,199,,,,,0.6812499761581421,0.021861135959625244,1.7445929050445557
39,,,,,199,0.015449285507202148,11.175617218017578,,,,,
,0.0029,0.0029,0.9,0.9,200,,,,,,,
40,,,,,204,,,0.033761173486709595,0.033761173486709595,,,
